episode,step,reward,min_range,v,w,timestamp
1,287,-0.098,0.8150316476821899,-0.08,-0.9,1762042324.1312299
1,288,-0.098,0.8141668438911438,-0.08,-0.9,1762042324.2313538
1,289,0.156,0.8128413558006287,0.18,1.2,1762042324.331305
1,290,-0.098,0.8140621185302734,-0.08,0.9,1762042324.4312742
1,291,-0.098,0.8117833137512207,-0.08,0.9,1762042324.5312588
1,292,-0.098,0.8074126839637756,-0.08,0.9,1762042324.6312358
1,293,-0.098,0.8073914647102356,-0.08,0.9,1762042324.7312353
1,294,-0.098,0.8073943853378296,-0.08,0.9,1762042324.8312328
1,295,-0.098,0.8073943853378296,-0.08,0.9,1762042324.9312189
1,296,-0.098,0.8073943853378296,-0.08,0.9,1762042325.031238
1,297,-0.098,0.8073943853378296,-0.08,0.9,1762042325.1312401
1,298,-0.098,0.8073943853378296,-0.08,0.9,1762042325.2312315
1,299,0.156,0.8073943853378296,0.18,1.2,1762042325.331248
1,300,-0.098,0.8079341053962708,-0.08,-0.9,1762042325.431239
1,301,-0.098,0.8083735704421997,-0.08,-0.9,1762042325.5312572
1,302,-0.098,0.8089042901992798,-0.08,-0.9,1762042325.6312344
1,303,-0.098,0.8093346357345581,-0.08,-0.9,1762042325.7312906
1,304,-0.098,0.8100824356079102,-0.08,-0.9,1762042325.8312392
1,305,-0.098,0.8100855350494385,-0.08,-0.9,1762042325.9312613
1,306,-0.098,0.8100858330726624,-0.08,-0.9,1762042326.0312579
1,307,-0.098,0.8100829720497131,-0.08,-0.9,1762042326.1312475
1,308,0.156,0.8100883960723877,0.18,1.2,1762042326.231261
1,309,-0.098,0.8102241158485413,-0.08,0.9,1762042326.3312445
1,310,-0.098,0.8102157115936279,-0.08,0.9,1762042326.431248
1,311,-0.098,0.8102208971977234,-0.08,0.9,1762042326.5312314
1,312,-0.098,0.8102208971977234,-0.08,0.9,1762042326.6312492
1,313,-0.098,0.8102203011512756,-0.08,0.9,1762042326.7312393
1,314,-0.098,0.8066825270652771,-0.08,0.9,1762042326.8312256
1,315,-0.098,0.8045825958251953,-0.08,0.9,1762042326.9312377
1,316,-0.098,0.8005107045173645,-0.08,0.9,1762042327.0312092
1,317,-0.098,0.7989332675933838,-0.08,0.9,1762042327.1312692
1,318,0.156,0.7947388291358948,0.18,1.2,1762042327.2312167
1,319,-0.098,0.79501873254776,-0.08,-0.9,1762042327.3312306
1,320,-0.098,0.7954508662223816,-0.08,-0.9,1762042327.4312296
1,321,-0.098,0.7954508662223816,-0.08,-0.9,1762042327.531248
1,322,-0.098,0.7954508662223816,-0.08,-0.9,1762042327.6312206
1,323,-0.098,0.7954508662223816,-0.08,-0.9,1762042327.73121
1,324,-0.098,0.7954510450363159,-0.08,-0.9,1762042327.8312593
1,325,-0.098,0.7954510450363159,-0.08,-0.9,1762042327.9312644
1,326,-0.098,0.7954643368721008,-0.08,-0.9,1762042328.0312269
1,327,-0.098,0.7954582571983337,-0.08,-0.9,1762042328.1312141
1,328,0.156,0.7955673336982727,0.18,1.2,1762042328.231267
1,329,-0.098,0.7957520484924316,-0.08,0.9,1762042328.3312438
1,330,-0.098,0.7929736375808716,-0.08,0.9,1762042328.4312303
1,331,-0.098,0.7914449572563171,-0.08,0.9,1762042328.531222
1,332,-0.098,0.7914449572563171,-0.08,0.9,1762042328.6312187
1,333,-0.098,0.7914449572563171,-0.08,0.9,1762042328.7312684
1,334,-0.098,0.7858501076698303,-0.08,0.9,1762042328.8312247
1,335,-0.098,0.7833712100982666,-0.08,0.9,1762042328.9312422
1,336,-0.098,0.7809416651725769,-0.08,0.9,1762042329.031213
1,337,-0.098,0.7786359786987305,-0.08,0.9,1762042329.1312144
1,338,0.156,0.7786130905151367,0.18,1.2,1762042329.2312403
1,339,-0.098,0.7787414193153381,-0.08,-0.9,1762042329.331244
1,340,-0.098,0.7787266373634338,-0.08,-0.9,1762042329.4312518
1,341,-0.098,0.7787308096885681,-0.08,-0.9,1762042329.5311952
1,342,-0.098,0.7788024544715881,-0.08,-0.9,1762042329.63121
1,343,-0.098,0.778900682926178,-0.08,-0.9,1762042329.7312353
1,344,-0.098,0.7789061665534973,-0.08,-0.9,1762042329.8311834
1,345,-0.098,0.7788866758346558,-0.08,-0.9,1762042329.931215
1,346,-0.098,0.7788552045822144,-0.08,-0.9,1762042330.0312324
1,347,-0.098,0.7787872552871704,-0.08,-0.9,1762042330.1312795
1,348,0.156,0.7787436246871948,0.18,1.2,1762042330.231233
1,349,-0.098,0.7787821888923645,-0.08,0.9,1762042330.3312318
1,350,-0.098,0.7787798643112183,-0.08,0.9,1762042330.4312398
1,351,-0.098,0.7787941694259644,-0.08,0.9,1762042330.5312128
1,352,-0.098,0.778796911239624,-0.08,0.9,1762042330.631263
1,353,-0.098,0.778796911239624,-0.08,0.9,1762042330.7312405
1,354,-0.098,0.778796911239624,-0.08,0.9,1762042330.8312945
1,355,-0.098,0.778796911239624,-0.08,0.9,1762042330.9312582
1,356,-0.098,0.778796911239624,-0.08,0.9,1762042331.0312448
1,357,0.156,0.7788121104240417,0.18,1.2,1762042331.1312358
1,358,-0.098,0.7789101600646973,-0.08,-0.9,1762042331.2312543
1,359,-0.098,0.7789101600646973,-0.08,-0.9,1762042331.3312445
1,360,-0.098,0.7789492607116699,-0.08,-0.9,1762042331.431253
1,361,-0.098,0.779053270816803,-0.08,-0.9,1762042331.531256
1,362,-0.098,0.7791039943695068,-0.08,-0.9,1762042331.631222
1,363,-0.098,0.7792001962661743,-0.08,-0.9,1762042331.7312284
1,364,-0.098,0.7792577147483826,-0.08,-0.9,1762042331.831235
1,365,-0.098,0.7792742848396301,-0.08,-0.9,1762042331.9312608
1,366,-0.098,0.7793326377868652,-0.08,-0.9,1762042332.0312269
1,367,0.156,0.7794054746627808,0.18,1.2,1762042332.1312141
1,368,-0.098,0.7794031500816345,-0.08,0.9,1762042332.2312515
